1,30
2,30
3,30
4,30
5,13
6,30
7,25
8,30
9,13
10,30
11,30
12,30
13,13
14,30
15,13
15,30
16,30
16,47
17,13
18,30
19,30
20,47
21,22
22,68
23,68
24,13
24,30
24,47
25,30
26,30
27,30
28,30
29,13
30,30
31,47
32,30
33,47
34,30
35,13
35,30
35,47
36,13
37,68
38,21
39,30
40,30
41,68
42,21
43,68
44,13
45,30
46,13
47,10
47,13
47,47
48,13
48,68
49,30
50,13
51,21
52,30
53,47
54,68
55,13
56,47
57,13
58,47
59,30
60,68
61,13
62,47
63,13
64,30
65,13
66,21
67,30
68,30
69,68
70,30
71,30
71,68
72,30
73,30
74,13
75,30
76,3
76,13
76,68
77,30
77,68
78,30
79,13
80,68
81,68
82,30
83,66
84,21
85,47
85,77
86,68
87,13
87,25
88,47
89,47
90,68
91,13
92,13
93,13
94,13
95,13
96,13
97,13
98,13
99,13
100,13
101,13
102,13
103,13
104,13
105,77
106,13
107,13
108,47
109,30
110,30
111,30
112,13
113,30
114,30
115,30
116,30
117,47
118,13
119,47
120,47
121,30
122,13
123,68
124,13
125,13
126,30
127,13
128,21
129,13
130,13
131,13
132,13
133,47
134,13
135,13
136,13
137,13
138,30
139,13
140,13
140,47
141,47
142,13
143,13
144,47
145,13
146,13
147,13
148,13
149,13
150,47
151,13
152,13
153,13
154,13
155,13
156,13
157,13
158,47
159,13
160,13
161,47
162,47
163,30
164,13
165,13
166,13
167,47
168,30
169,13
170,13
171,13
172,13
173,13
174,47
175,30
176,13
177,13
178,13
179,13
180,13
181,13
182,13
183,30
184,47
185,47
186,13
187,13
188,13
189,13
190,13
191,13
192,13
193,13
194,13
195,13
196,13
197,13
198,13
199,13
200,13
201,13
202,13
203,47
204,13
205,13
206,13
207,13
208,13
209,13
210,13
211,13
212,13
213,13
214,13
215,13
216,13
217,13
218,13
219,13
220,13
221,13
222,13
223,13
224,13
225,13
226,13
227,63
228,47
229,13
230,13
230,30
231,47
232,47
233,30
234,21
234,36
234,68
234,77
235,13
236,30
237,30
238,21
239,13
239,21
239,30
239,36
239,64
239,68
240,13
241,47
242,47
243,68
244,47
245,30
246,13
247,64
248,47
249,30
250,30
251,13
252,68
253,13
253,30
253,36
254,47
255,30
256,30
257,13
257,66
258,13
259,30
260,16
260,19
261,13
261,21
261,26
261,30
261,64
261,68
262,21
262,54
262,64
263,13
263,30
264,21
265,8
265,13
265,30
266,13
266,68
267,30
268,47
269,13
270,68
271,47
272,21
273,13
274,13
274,68
275,30
276,13
276,21
276,26
276,47
276,52
277,30
278,68
279,13
280,47
281,13
281,30
282,10
282,13
282,26
283,13
283,30
284,68
285,68
286,21
286,64
287,13
288,21
289,42
290,13
290,47
291,13
292,13
293,30
294,13
294,30
295,13
296,13
297,13
297,68
298,21
298,68
299,64
300,13
300,67
300,68
301,68
302,68
303,21
303,68
303,77
304,30
305,13
306,30
307,13
308,30
308,77
309,47
310,13
310,30
311,47
312,21
313,13
313,21
313,47
313,68
314,21
315,30
316,13
317,13
318,66
319,13
320,30
321,21
321,30
321,42
322,68
323,21
323,64
323,68
324,13
325,30
326,13
327,13
328,13
329,30
330,21
330,30
330,68
331,30
332,13
333,47
334,30
335,13
336,13
337,13
338,13
339,13
340,30
340,68
341,47
342,13
343,68
344,13
345,21
346,30
347,13
348,30
349,64
350,30
351,13
352,30
353,30
354,30
355,47
356,30
357,30
358,30
359,30
360,30
361,13
362,30
363,30
364,30
365,30
366,30
367,30
368,30
369,30
370,30
371,30
372,30
373,13
373,30
374,30
375,30
376,30
377,13
378,30
379,30
380,13
381,30
382,30
383,68
384,68
385,68
386,30
386,68
387,68
388,42
389,66
390,68
391,68
392,68
393,68
394,68
395,68
396,68
397,13
397,30
397,42
397,68
398,30
399,47
400,25
401,21
401,42
402,13
402,30
402,68
403,21
404,13
404,16
404,21
404,23
404,32
404,46
404,47
404,64
404,68
404,77
405,47
406,68
407,21
408,30
409,13
409,64
410,30
411,13
412,4
413,30
413,68
414,13
415,30
416,21
417,13
418,13
418,30
419,30
420,47
421,30
422,68
423,30
424,30
425,42
426,21
427,30
