1	107
2	47
2	73
3	50
4	50
5	37
6	50
7	47
7	73
8	50
9	50
10	50
11	37
12	24
12	50
13	49
14	49
15	74
16	50
17	50
18	50
19	50
20	37
21	50
22	50
23	50
24	50
24	107
25	50
27	107
28	54
29	47
29	50
29	74
30	47
30	73
31	50
34	47
34	73
35	50
36	107
37	107
38	50
39	50
40	47
40	73
41	38
42	107
43	107
44	107
45	15
45	37
45	47
45	50
45	73
45	74
46	50
47	50
48	37
49	47
49	50
49	107
50	47
50	73
51	50
56	50
57	105
58	50
59	37
59	96
59	102
61	107
62	74
62	105
63	50
63	73
63	107
64	50
65	50
66	56
67	50
68	50
69	107
70	74
71	50
72	74
74	50
76	50
77	19
77	73
78	50
78	57
78	73
79	49
79	74
79	107
81	50
82	37
82	49
82	74
83	37
83	74
84	47
84	73
85	35
85	47
85	74
86	47
86	73
87	37
88	50
89	50
90	50
91	107
92	107
93	47
93	73
95	47
95	73
96	50
97	50
98	117
99	107
100	74
101	47
101	73
102	74
103	3
103	37
103	47
103	50
103	57
103	72
103	73
103	74
103	102
103	107
104	49
105	120
106	50
107	50
108	50
109	74
110	107
111	107
112	47
112	50
113	49
114	50
115	50
116	50
116	73
116	105
117	27
117	44
117	50
117	57
117	74
119	50
120	50
120	73
120	74
121	105
122	50
123	3
123	72
123	107
124	50
124	107
126	105
127	107
128	37
129	50
130	50
131	50
132	50
133	107
134	37
134	105
135	37
136	73
137	37
138	50
139	107
141	47
141	73
142	64
143	107
184	73
186	50
187	50
190	50
191	73
201	73
204	50
205	73
208	50
211	50
212	50
213	50
214	73
215	73
217	73
218	50
221	107
222	37
223	73
227	50
229	73
231	50
233	50
240	50
242	73
244	73
247	73
249	73
253	50
254	50
256	73
257	50
261	50
266	73
270	73
271	73
275	73
276	73
283	50
288	50
291	73
304	73
305	50
307	73
317	73
319	73
324	50
325	73
328	73
344	73
357	107
382	41
383	101
384	44
385	74
386	50
387	74
388	50
389	50
390	74
391	107
392	50
392	107
393	37
394	50
395	50
396	50
397	47
397	73
398	74
399	50
400	107
402	50
403	37
403	57
403	107
403	120
404	47
404	50
404	107
406	50
407	107
408	107
409	37
410	37
410	50
410	57
410	107
411	47
411	50
411	105
414	107
415	49
415	74
416	107
417	37
418	50
419	107
420	50
421	50
422	50
422	57
423	74
424	102
425	50
426	37
427	50
428	47
428	56
428	73
429	49
429	107
430	47
430	73
431	50
432	50
433	47
433	50
434	37
434	50
436	37
437	74
438	47
440	107
441	50
441	57
442	74
443	50
444	50
445	37
445	50
445	72
446	50
448	105
449	49
449	50
450	19
450	24
450	34
450	37
450	47
450	49
450	50
450	54
450	65
450	74
450	89
450	102
450	104
450	106
450	107
450	120
451	27
451	34
451	107
452	37
452	44
452	50
452	65
452	74
452	102
453	37
453	88
453	102
454	50
455	37
456	37
457	47
457	73
458	37
458	57
459	37
460	37
461	37
462	37
463	50
464	50
465	50
466	50
467	105
468	14
468	50
468	74
469	56
469	107
470	50
471	107
472	107
473	54
473	73
473	74
474	50
475	50
476	50
478	50
479	24
481	107
482	50
483	50
485	37
485	44
485	47
485	64
485	73
485	74
485	83
485	102
487	50
488	102
489	107
494	47
494	73
496	50
497	50
500	49
500	50
501	50
502	50
503	74
504	107
505	37
505	107
506	107
507	107
509	50
510	19
510	37
510	50
510	73
510	74
511	37
511	74
511	102
513	50
514	107
515	73
518	37
518	50
519	64
520	64
521	107
522	47
522	73
523	50
524	74
524	107
525	50
526	107
527	50
528	50
529	50
530	74
531	107
536	50
537	49
537	50
537	107
538	35
538	49
538	56
538	107
539	107
540	37
540	47
541	107
543	106
544	50
546	37
546	50
547	50
547	74
547	107
549	62
550	37
550	74
550	120
552	102
553	50
554	102
555	50
556	102
557	107
558	37
559	50
559	107
560	50
560	120
561	107
562	107
563	73
564	64
566	49
567	49
567	50
568	74
569	47
570	37
571	107
572	50
572	107
573	47
573	50
573	73
573	107
574	37
575	37
575	56
576	107
578	50
579	37
580	50
581	50
581	107
582	50
583	102
585	50
586	41
587	37
588	50
589	50
589	64
590	13
591	37
591	50
591	102
591	107
592	47
594	47
594	73
595	37
597	47
597	107
598	37
598	49
598	50
599	37
600	50
601	49
602	50
603	37
605	50
606	50
607	50
608	37
608	50
608	56
608	107
609	50
610	74
611	50
612	50
613	50
614	73
615	50
616	49
617	50
619	50
620	50
621	107
624	50
625	102
630	107
631	47
633	50
636	50
639	107
640	50
641	37
642	50
643	50
644	19
646	37
649	50
650	107
651	50
651	73
652	50
653	37
654	50
655	50
656	102
657	50
658	50
660	50
661	50
662	50
663	47
663	50
663	73
664	50
666	50
667	50
668	47
668	73
669	50
670	50
671	50
672	50
673	50
674	50
675	50
677	50
678	50
679	50
680	50
681	50
682	50
683	50
684	50
685	50
687	50
688	50
689	50
690	50
691	50
692	50
693	50
694	102
695	50
